label,n,scheme,micro_f1,micro_k,MAP,MRR,R-P,P@5,R@5,F1@5,NDCG@5,MAP@5,MicroF1@5,P@6,R@6,F1@6,NDCG@6,MAP@6,MicroF1@6,P@7,R@7,F1@7,NDCG@7,MAP@7,MicroF1@7,P@8,R@8,F1@8,NDCG@8,MAP@8,MicroF1@8,P@9,R@9,F1@9,NDCG@9,MAP@9,MicroF1@9,P@10,R@10,F1@10,NDCG@10,MAP@10,MicroF1@10,P@11,R@11,F1@11,NDCG@11,MAP@11,MicroF1@11,P@15,R@15,F1@15,NDCG@15,MAP@15,MicroF1@15,P@20,R@20,F1@20,NDCG@20,MAP@20,MicroF1@20
tfidf  n=7   scheme=augmented  min_df=2  max_df=0.95,7,augmented,45.0681,8,59.4265,79.3544,54.7279,51.6239,50.9462,42.6372,68.3933,60.4676,41.6265,48.6467,55.4955,43.2487,68.5632,59.9579,43.5448,45.9096,59.2871,43.3015,68.7701,59.4031,44.6026,43.3226,62.1411,42.8407,68.7389,58.7709,44.9681,40.7407,64.0449,41.949,68.42,58.0626,44.6642,38.3333,65.4351,40.8512,68.2355,57.5597,44.0029,36.3636,67.0818,40.0185,68.3819,57.4671,43.4137,29.4872,70.9243,35.7741,68.7363,57.1558,39.4136,24.3376,74.0116,31.8704,69.6904,57.7279,35.4442
tfidf  n=6   scheme=binary     min_df=2  max_df=0.95,6,binary,45.0125,8,59.29,79.3598,54.6116,51.453,50.7041,42.4723,68.298,60.4696,41.4886,48.433,54.7827,42.9648,68.3065,59.8319,43.3535,45.4823,57.9194,42.7575,68.228,59.0611,44.1874,43.2692,62.0441,42.7699,68.6836,58.7219,44.9127,40.7407,64.0167,41.9345,68.4048,58.0243,44.6642,38.4188,65.452,40.9149,68.2684,57.5997,44.1011,36.2859,66.8832,39.9193,68.2959,57.3473,43.321,29.4302,70.7969,35.6955,68.6687,57.0826,39.3374,24.0598,73.3639,31.5005,69.3765,57.5,35.0397
tfidf  n=9   scheme=augmented  min_df=2  max_df=0.95,9,augmented,45.0125,8,58.9893,78.5109,54.5745,51.2821,50.6154,42.3149,67.7836,59.879,41.3508,48.0769,54.5136,42.5738,67.6819,59.1333,43.0347,45.6654,58.8432,43.0035,68.1766,58.78,44.3654,43.2692,62.2412,42.8625,68.3605,58.3436,44.9127,40.8357,64.1949,42.0648,68.1464,57.7163,44.7683,38.4188,65.4461,40.9142,67.9338,57.2476,44.1011,36.014,66.4518,39.6326,67.7243,56.7945,42.9963,29.4302,70.7436,35.6771,68.3212,56.7104,39.3374,24.3162,73.9957,31.8522,69.3323,57.2942,35.4131
tfidf  n=10  scheme=log        min_df=2  max_df=0.95,10,log,45.0125,8,59.4889,79.6415,54.8267,51.6239,51.2248,42.6819,68.5957,60.6995,41.6265,48.0057,54.6847,42.5708,68.217,59.6184,42.971,45.6654,58.521,42.887,68.5847,59.347,44.3654,43.2692,62.4531,42.8714,68.8878,58.8818,44.9127,40.9307,64.628,42.1919,68.7551,58.2627,44.8725,38.547,66.1398,41.1424,68.6221,57.8536,44.2482,36.3636,67.4986,40.0535,68.6167,57.547,43.4137,29.6581,71.3347,35.9308,69.048,57.3705,39.642,24.2735,74.3404,31.8307,69.903,57.8796,35.3509
tfidf  n=10  scheme=augmented  min_df=2  max_df=0.95,10,augmented,45.0125,8,58.6611,77.7854,54.154,51.2821,50.6527,42.3489,67.4761,59.5709,41.3508,48.1481,54.1422,42.5327,67.3243,58.8567,43.0985,45.4823,58.195,42.7762,67.6131,58.2854,44.1874,43.2692,62.231,42.8584,68.0539,57.9955,44.9127,40.8357,64.2,42.0683,67.8484,57.3942,44.7683,38.4615,65.4953,40.9583,67.6706,56.9712,44.1501,35.9363,66.345,39.5452,67.3717,56.4271,42.9035,29.4302,70.7248,35.6738,68.0246,56.3804,39.3374,24.3162,74.007,31.8528,69.0498,56.9599,35.4131
tfidf  n=6   scheme=augmented  min_df=2  max_df=0.95,6,augmented,44.9569,8,59.7702,79.5697,55.1705,51.5385,51.1167,42.5982,68.6734,60.847,41.5575,48.6467,55.7091,43.2402,68.8979,60.3213,43.5448,45.5433,58.653,42.882,68.6991,59.4663,44.2467,43.2158,61.9966,42.7196,68.9014,59.0443,44.8572,40.7882,63.9742,41.9594,68.6586,58.4084,44.7163,38.5043,65.7176,41.0528,68.6243,57.9974,44.1992,36.4025,66.9111,39.9921,68.6045,57.7982,43.4601,29.6581,71.1493,35.9715,69.1032,57.5847,39.642,24.359,74.1041,31.9007,69.9678,58.0868,35.4753
tfidf  n=8   scheme=augmented  min_df=2  max_df=0.95,8,augmented,44.9569,8,59.2391,78.8707,54.5629,51.5385,50.7468,42.4876,68.1454,60.2593,41.5575,48.433,55.1551,42.9777,68.2232,59.6538,43.3535,45.7265,58.8966,43.0605,68.4175,59.0863,44.4247,43.2158,62.0793,42.7636,68.4987,58.5209,44.8572,40.7882,64.1693,42.0357,68.299,57.9107,44.7163,38.2906,65.3092,40.7864,68.0235,57.3683,43.9539,36.2471,66.7563,39.8594,68.0869,57.2012,43.2746,29.5157,70.9568,35.7987,68.5982,57.0164,39.4516,24.359,74.0795,31.9088,69.5546,57.5716,35.4753
tfidf  n=9   scheme=log        min_df=2  max_df=0.95,9,log,44.9569,8,59.7048,80.1392,55.0808,51.6239,50.9589,42.6661,68.7453,60.9672,41.6265,48.0057,54.7629,42.6294,68.4476,59.8416,42.971,45.4823,58.3326,42.7115,68.6723,59.4258,44.1874,43.2158,61.8592,42.7081,68.9274,59.0607,44.8572,40.7882,64.4833,42.0416,68.8719,58.4246,44.7163,38.4615,66.0584,41.0607,68.7705,58.0165,44.1501,36.2471,67.4586,39.961,68.7649,57.7245,43.2746,29.6581,71.3347,35.9308,69.2465,57.5866,39.642,24.2735,74.3593,31.8358,70.1028,58.0896,35.3509
tfidf  n=7   scheme=log        min_df=2  max_df=0.95,7,log,44.9014,8,59.6096,80.151,54.8071,51.8803,51.1154,42.8467,68.8848,61.1449,41.8332,48.3618,55.366,42.9588,68.7554,60.1029,43.2898,45.2381,58.2115,42.5506,68.5074,59.1793,43.9502,43.1624,61.7798,42.6416,68.8635,58.9656,44.8018,40.7407,64.3703,41.9642,68.7942,58.3149,44.6642,38.547,66.0879,41.1092,68.7874,58.0305,44.2482,36.1305,67.351,39.86,68.6493,57.5861,43.1354,29.5442,71.1565,35.7902,69.1085,57.4324,39.4897,24.2308,74.4819,31.7904,70.0565,57.9659,35.2886
tfidf  n=7   scheme=binary     min_df=2  max_df=0.95,7,binary,44.9014,8,59.0983,79.2786,54.5349,51.5385,50.6898,42.4866,68.246,60.3075,41.5575,48.5043,54.9257,43.0316,68.2868,59.7286,43.4173,45.4212,57.6205,42.6172,68.03,58.8513,44.1281,43.1624,61.5997,42.6428,68.4221,58.4936,44.8018,40.6933,63.9411,41.8795,68.2597,57.8334,44.6122,38.3333,65.3781,40.8425,68.1064,57.3761,44.0029,36.2082,66.9365,39.874,68.1626,57.1602,43.2282,29.3162,70.6782,35.5764,68.4839,56.862,39.1851,24.1026,73.4207,31.5475,69.2961,57.3394,35.1019
tfidf  n=9   scheme=binary     min_df=2  max_df=0.95,9,binary,44.9014,8,58.641,78.027,54.57,51.2821,50.4445,42.2498,67.5686,59.6696,41.3508,48.0769,54.3086,42.5771,67.4585,58.979,43.0347,45.4823,57.729,42.6824,67.6216,58.4568,44.1874,43.1624,61.7284,42.7018,67.9948,58.0238,44.8018,40.7882,63.7343,41.9683,67.8135,57.4549,44.7163,38.2906,65.2691,40.7672,67.6394,56.9418,43.9539,35.9751,66.8483,39.6528,67.603,56.5481,42.9499,29.2023,70.4244,35.4186,67.9509,56.3666,39.0327,24.0812,73.5899,31.5622,68.9186,56.8805,35.0708
