model,_micro_f1,_micro_k,MAP,MRR,R-Precision,n_queries,P@5,R@5,F1@5,NDCG@5,MAP@5,MicroF1@5,P@6,R@6,F1@6,NDCG@6,MAP@6,MicroF1@6,P@7,R@7,F1@7,NDCG@7,MAP@7,MicroF1@7,P@8,R@8,F1@8,NDCG@8,MAP@8,MicroF1@8,P@9,R@9,F1@9,NDCG@9,MAP@9,MicroF1@9,P@10,R@10,F1@10,NDCG@10,MAP@10,MicroF1@10,P@11,R@11,F1@11,NDCG@11,MAP@11,MicroF1@11,P@15,R@15,F1@15,NDCG@15,MAP@15,MicroF1@15,P@20,R@20,F1@20,NDCG@20,MAP@20,MicroF1@20
E: Fact+Arg+Prec+Ratio  n=5  scheme=augmented,45.4086,7,59.1259,78.3439,55.2168,234,52.3932,51.5666,43.231,68.6612,60.9005,42.2467,49.4302,55.9839,43.8302,68.8231,60.2436,44.2461,46.6422,59.8098,43.8968,69.021,59.7302,45.3144,43.5363,61.6097,42.8442,68.5078,58.7805,45.1899,40.7407,63.7087,41.9161,68.1358,57.9063,44.6642,38.2479,64.8486,40.6811,67.847,57.3603,43.9048,36.2471,66.2155,39.7401,67.9203,57.1803,43.2746,29.3732,69.6973,35.4782,68.1796,56.8766,39.2612,24.3803,73.5258,31.844,69.3745,57.5644,35.5065
E: Fact+Arg+Prec+Ratio  n=4  scheme=augmented,45.2897,7,59.3144,78.8266,54.8501,234,52.906,52.0613,43.6936,69.1508,61.397,42.6602,49.7863,56.4669,44.2473,69.2285,60.6726,44.5649,46.5201,59.7967,43.8425,69.0852,59.8314,45.1957,43.4295,61.6008,42.7894,68.5791,58.8909,45.079,40.8832,63.7716,42.0469,68.3403,58.1769,44.8204,38.4615,65.2551,40.9652,68.1683,57.699,44.1501,36.4025,66.5199,39.9397,68.1883,57.4902,43.4601,29.4872,69.8193,35.5979,68.3927,57.161,39.4136,24.2735,73.2474,31.7095,69.3858,57.6857,35.3509
E: Fact+Arg+Prec+Ratio  n=4  scheme=binary,45.1792,8,58.9089,78.8958,54.5143,234,52.8205,51.7781,43.5169,68.9983,61.1849,42.5913,49.4302,55.9868,43.8636,68.8914,60.2191,44.2461,46.2149,59.0516,43.4838,68.6837,59.397,44.8992,43.4295,61.5482,42.7655,68.4935,58.6903,45.079,40.5508,63.4519,41.7415,68.0336,57.7517,44.456,38.0342,64.7563,40.5185,67.7784,57.178,43.6596,36.1694,66.2908,39.7054,67.9494,57.1387,43.1818,29.2877,69.4208,35.3464,68.0987,56.7644,39.147,24.1026,73.1038,31.5263,69.1455,57.2912,35.1019
B3: Boost Precedent+Ratio ×5,45.1709,7,58.8326,78.914,54.7072,234,52.3077,51.929,43.5167,68.5501,60.4514,42.1778,48.8604,54.9302,43.304,68.1879,59.5096,43.7361,46.398,58.9349,43.5541,68.6178,59.3117,45.0771,43.3226,61.0445,42.6948,68.1501,58.3844,44.9681,40.6458,63.7967,41.8054,67.9855,57.5644,44.5601,38.0769,65.0601,40.5653,67.6999,56.9346,43.7086,35.9751,66.8378,39.597,67.8154,56.7304,42.9499,29.886,72.1526,36.2095,68.8785,56.9489,39.9467,24.2308,74.8052,31.7666,69.5211,57.2346,35.2886
E: Fact+Arg+Prec+Ratio  n=3  scheme=augmented,45.1709,7,59.4969,79.5064,55.6298,234,52.906,52.3478,43.6882,69.5764,61.823,42.6602,49.4302,56.2423,43.9544,69.335,60.8396,44.2461,46.398,59.1702,43.6017,69.2033,60.154,45.0771,43.3226,61.0963,42.6307,68.7116,59.1351,44.9681,40.7407,63.5871,41.8766,68.5345,58.4238,44.6642,38.3333,65.1408,40.8231,68.3857,57.9673,44.0029,36.2082,66.428,39.826,68.3491,57.6757,43.2282,29.3732,70.1141,35.5196,68.676,57.3524,39.2612,24.1239,73.1955,31.5792,69.5721,57.8521,35.133
E: Fact+Arg+Prec+Ratio  n=5  scheme=binary,45.1709,7,58.4109,77.8628,54.4143,234,52.2222,51.3984,43.0786,68.195,60.4062,42.1089,49.1453,55.4148,43.5491,68.1867,59.542,43.9911,46.398,58.9935,43.5668,68.3307,59.0353,45.0771,43.2158,61.0164,42.5493,67.8332,58.0229,44.8572,40.5508,62.9493,41.6577,67.4739,57.2486,44.456,38.0342,64.2716,40.4441,67.2248,56.7026,43.6596,35.9363,65.8302,39.4289,67.2803,56.464,42.9035,29.2308,69.4041,35.2872,67.6272,56.1923,39.0708,24.1026,73.0813,31.5132,68.7028,56.7646,35.1019
B8: Boost Argument+Precedent+Ratio ×2,45.1236,8,60.4012,79.913,57.0343,234,52.4786,51.9475,43.4578,69.7067,62.1755,42.3156,48.9316,54.9382,43.188,69.2995,61.1638,43.7998,46.1538,58.5684,43.3238,69.4259,60.6512,44.8399,43.3761,61.0616,42.7763,69.1816,59.8927,45.0236,40.9782,63.488,42.112,69.0634,59.3162,44.9245,38.4615,65.4668,40.9514,68.9868,58.7325,44.1501,36.4025,67.6369,40.0899,69.2309,58.5492,43.4601,29.6581,71.4446,35.9803,69.6571,58.3463,39.642,24.188,74.2716,31.7259,70.4238,58.7583,35.2264
E: Fact+Arg+Prec+Ratio  n=5  scheme=log,45.1236,8,59.3292,79.0649,55.5635,234,52.1368,51.0418,42.827,68.853,61.2587,42.04,49.1453,55.0365,43.3516,68.8824,60.6053,43.9911,45.7875,58.2298,42.9167,68.628,59.5917,44.484,43.3761,61.1935,42.675,68.7053,59.0545,45.0236,40.3609,62.4899,41.371,68.0181,57.9742,44.2478,38.0769,64.8639,40.4935,68.1139,57.6078,43.7086,35.9363,66.2523,39.4759,68.1084,57.3393,42.9035,29.5157,70.752,35.7054,68.8112,57.3178,39.4516,23.9957,73.3328,31.4277,69.4492,57.6287,34.9463
E: Fact+Arg+Prec+Ratio  n=3  scheme=binary,44.9569,8,59.0961,79.3208,55.1058,234,52.8205,51.6135,43.4952,69.2121,61.6022,42.5913,49.2877,55.861,43.8152,69.044,60.5027,44.1186,46.1538,58.6145,43.3475,68.8156,59.7249,44.8399,43.2158,61.0043,42.5338,68.5004,58.863,44.8572,40.6933,63.6045,41.8652,68.3688,58.1968,44.6122,38.2051,65.0374,40.7079,68.1647,57.6908,43.8558,36.014,66.2079,39.6204,68.0685,57.3425,42.9963,29.2023,69.4494,35.3048,68.2924,56.9902,39.0327,23.8462,72.681,31.2317,69.1365,57.3753,34.7285
B2: Boost Precedent+Ratio ×3,44.9331,7,59.5012,79.4283,55.5338,234,52.3932,52.1482,43.5425,69.1768,61.1629,42.2467,48.7892,55.0324,43.1894,68.7244,60.1638,43.6723,46.1538,58.5392,43.2755,68.9222,59.8508,44.8399,43.1624,60.8482,42.5119,68.5442,58.9701,44.8018,40.7407,63.5773,41.8838,68.4683,58.3154,44.6642,38.2051,64.8063,40.6419,68.192,57.6946,43.8558,36.1305,66.9251,39.7495,68.4125,57.494,43.1354,29.7151,71.6217,36.0454,69.1699,57.4593,39.7182,24.2094,74.7279,31.7462,69.9757,57.8839,35.2575
