model,_micro_f1,_micro_k,MAP,MRR,R-Precision,n_queries,P@5,R@5,F1@5,NDCG@5,MAP@5,MicroF1@5,P@6,R@6,F1@6,NDCG@6,MAP@6,MicroF1@6,P@7,R@7,F1@7,NDCG@7,MAP@7,MicroF1@7,P@8,R@8,F1@8,NDCG@8,MAP@8,MicroF1@8,P@9,R@9,F1@9,NDCG@9,MAP@9,MicroF1@9,P@10,R@10,F1@10,NDCG@10,MAP@10,MicroF1@10,P@11,R@11,F1@11,NDCG@11,MAP@11,MicroF1@11,P@15,R@15,F1@15,NDCG@15,MAP@15,MicroF1@15,P@20,R@20,F1@20,NDCG@20,MAP@20,MicroF1@20
G5: BM25 Fact+Arg+Prec+Ratio  n=8,39.4056,7,47.299,72.8957,44.3934,234,46.4957,44.9391,37.8526,60.4154,51.667,37.4914,43.3761,47.9993,37.8465,60.0371,50.5892,38.8269,40.4762,50.656,37.4944,59.7092,49.6213,39.3238,37.2863,52.3974,36.3411,58.9665,48.3301,38.7025,34.8528,53.9371,35.4175,58.4862,47.4111,38.2093,32.5641,55.5919,34.3515,58.2699,46.7657,37.3804,30.7304,56.8674,33.4883,58.2564,46.427,36.6883,24.6439,59.38,29.5937,58.144,45.8024,32.9398,20.235,63.0311,26.3861,59.0768,46.0221,29.4694
G5: BM25 Fact+Arg+Prec+Ratio  n=9,39.3462,7,47.4647,73.1779,44.2723,234,46.7521,44.6019,37.8709,60.6213,52.0721,37.6981,43.8034,48.3563,38.2049,60.4834,51.1288,39.2094,40.4151,50.6085,37.441,59.8268,49.8219,39.2645,37.2329,52.3495,36.2979,59.083,48.4766,38.6471,34.7578,54.0347,35.3816,58.6181,47.5187,38.1052,32.3504,55.2177,34.1708,58.2339,46.7945,37.1351,30.575,56.6229,33.3051,58.2703,46.5138,36.5028,24.6724,59.4571,29.6376,58.3137,45.9502,32.9779,20.3205,63.1336,26.4764,59.2798,46.2283,29.5939
G5: BM25 Fact+Arg+Prec+Ratio  n=10,39.2273,7,47.4008,73.1232,44.2053,234,46.8376,44.6218,37.906,60.6484,52.1091,37.7671,43.661,48.0714,38.0268,60.3221,51.0291,39.0819,40.293,50.1811,37.2511,59.6232,49.7042,39.1459,37.2329,52.3495,36.2979,59.0464,48.4409,38.6471,34.8528,54.1249,35.4741,58.6432,47.5424,38.2093,32.3077,55.1575,34.1182,58.1702,46.7388,37.0861,30.4584,56.4986,33.1849,58.1591,46.4239,36.3636,24.7578,59.7261,29.7472,58.3855,45.9798,33.0922,20.2137,62.9605,26.3501,59.1497,46.1104,29.4383
G4: BM25 Boost Arg+Prec+Ratio ×2  n=7,39.1085,7,48.1949,73.3327,45.887,234,45.3846,44.0173,36.9506,60.1975,51.8066,36.5955,42.3789,47.6226,37.2058,59.9581,50.808,37.9343,40.1709,50.9073,37.4337,60.1242,50.2827,39.0273,37.5534,52.4782,36.5939,59.6083,49.3395,38.9798,34.8528,53.4057,35.3243,58.8691,48.2567,38.2093,32.9487,55.3715,34.7457,58.9244,47.9029,37.8219,30.8469,56.2683,33.6439,58.7042,47.4122,36.8275,24.8433,59.3019,29.8954,58.7901,46.8639,33.2064,19.8504,62.0136,25.9898,59.1907,46.6892,28.9093
G4: BM25 Boost Arg+Prec+Ratio ×2  n=10,39.049,7,48.1882,73.6477,45.8304,234,45.9829,44.4552,37.4336,60.5766,52.0989,37.0779,42.5214,47.6832,37.2801,60.054,50.7373,38.0618,40.1099,50.8697,37.3887,60.084,50.137,38.968,37.2863,52.3109,36.3915,59.4489,49.0289,38.7025,34.9478,53.5988,35.4614,58.9602,48.1772,38.3134,32.8205,55.07,34.5847,58.8062,47.6506,37.6748,30.8081,56.0796,33.5282,58.6668,47.2571,36.7811,25.0712,59.7065,30.133,59.0173,46.9003,33.511,20.1709,62.806,26.3805,59.5832,46.8292,29.3761
G4: BM25 Boost Arg+Prec+Ratio ×2  n=6,39.0108,8,48.1431,73.2134,46.146,234,45.2137,43.9876,36.8729,60.1415,51.7711,36.4576,42.0228,46.9312,36.8089,59.66,50.6246,37.6156,39.8657,50.6236,37.1531,59.9411,50.173,38.7307,37.5,52.5383,36.5854,59.6165,49.3963,38.9243,34.7578,53.5993,35.3027,58.9015,48.3071,38.1052,32.7778,55.2854,34.5857,58.8629,47.9074,37.6257,30.4973,55.822,33.25,58.4675,47.3304,36.41,24.6154,59.3486,29.6574,58.6891,46.8312,32.9018,19.6795,61.7222,25.788,59.0207,46.6254,28.6603
G5: BM25 Fact+Arg+Prec+Ratio  n=6,38.9896,7,47.7383,73.6615,45.0351,234,46.4103,44.3694,37.6966,60.6361,52.2164,37.4225,43.3048,48.1233,37.8613,60.4292,51.1383,38.7631,40.0488,50.4314,37.1873,59.8382,49.8642,38.9087,37.3397,52.116,36.3704,59.2845,48.8366,38.758,34.8053,54.0116,35.4256,58.8435,47.8342,38.1572,32.6068,55.4342,34.4108,58.6214,47.2646,37.4295,30.3807,56.0058,33.1103,58.2575,46.7146,36.2709,24.5869,59.5286,29.6228,58.5098,46.2471,32.8637,20.1709,62.8221,26.3318,59.3402,46.4616,29.3761
G5: BM25 Fact+Arg+Prec+Ratio  n=7,38.9896,7,47.6328,73.2566,44.868,234,46.8376,45.2691,38.131,60.9146,52.2316,37.7671,43.1624,48.0986,37.7922,60.1978,50.8028,38.6356,40.0488,50.2903,37.1215,59.6607,49.7059,38.9087,37.4466,52.5354,36.4882,59.2992,48.7556,38.8689,35.0427,54.5455,35.6487,58.961,47.8666,38.4175,32.6068,55.7935,34.4289,58.5944,47.1137,37.4295,30.4973,56.5181,33.268,58.3071,46.6138,36.41,24.7293,59.7773,29.7494,58.5286,46.2099,33.0541,20.1282,62.8298,26.269,59.2175,46.2983,29.3138
G4: BM25 Boost Arg+Prec+Ratio ×2  n=8,38.9553,8,48.0344,73.1305,45.6184,234,45.7265,44.1992,37.1785,60.2515,51.7577,36.8711,42.5214,47.7501,37.3329,59.9074,50.6003,38.0618,39.9878,50.7325,37.2543,59.8599,50.005,38.8493,37.4466,52.4132,36.5189,59.3979,49.0323,38.8689,34.8528,53.4417,35.3463,58.7358,48.0096,38.2093,32.906,55.3159,34.6945,58.7615,47.6142,37.7729,30.8858,56.219,33.6434,58.5824,47.2033,36.8738,24.9003,59.3616,29.9481,58.7076,46.6948,33.2826,19.9786,62.425,26.1524,59.2241,46.5637,29.096
G4: BM25 Boost Arg+Prec+Ratio ×2  n=9,38.9302,7,48.2465,73.5911,45.6065,234,46.0684,44.4991,37.4787,60.6441,52.2126,37.1468,42.5214,47.7837,37.3404,60.0809,50.8009,38.0618,39.9878,50.7634,37.28,60.0205,50.1827,38.8493,37.3397,52.3584,36.4418,59.4965,49.1105,38.758,34.9003,53.5486,35.412,58.9443,48.212,38.2613,32.7778,55.0448,34.5567,58.7918,47.6822,37.6257,30.8858,56.2427,33.6509,58.7467,47.3693,36.8738,25.0142,59.5159,30.0804,58.9522,46.9183,33.4349,20.1496,63.1137,26.3642,59.6348,46.8819,29.345
