model,_micro_f1,_micro_k,MAP,MRR,R-Precision,P@5,R@5,F1@5,NDCG@5,MAP@5,MicroF1@5,P@6,R@6,F1@6,NDCG@6,MAP@6,MicroF1@6,P@7,R@7,F1@7,NDCG@7,MAP@7,MicroF1@7,P@8,R@8,F1@8,NDCG@8,MAP@8,MicroF1@8,P@9,R@9,F1@9,NDCG@9,MAP@9,MicroF1@9,P@10,R@10,F1@10,NDCG@10,MAP@10,MicroF1@10,P@11,R@11,F1@11,NDCG@11,MAP@11,MicroF1@11,P@15,R@15,F1@15,NDCG@15,MAP@15,MicroF1@15,P@20,R@20,F1@20,NDCG@20,MAP@20,MicroF1@20
Baseline TF-IDF (orig docs),44.0908,9,59.0602,79.6009,54.7933,52.0513,51.2534,42.9189,68.8215,61.0467,41.9711,48.433,54.6776,42.8733,68.4164,59.909,43.3535,45.0549,57.9597,42.4296,68.1801,58.9451,43.7722,42.1474,60.857,41.751,67.9711,58.0176,43.7483,40.1235,63.3302,41.3693,68.0131,57.5753,43.9875,38.1624,65.977,40.7643,68.3604,57.4723,43.8067,36.1305,67.2394,39.7769,68.3704,57.2083,43.1354,29.3162,70.8011,35.5648,68.6769,56.9095,39.1851,23.8675,73.5169,31.3313,69.3814,57.262,34.7596
I-grid: Fusion Prec×1 Ratio×2 Fact×1 Arg×1,39.6777,8,50.078,75.5385,46.5119,46.7521,44.9586,38.0509,61.3612,52.3678,37.6981,43.2336,48.3661,38.0637,60.8509,50.9475,38.6994,40.293,51.4442,37.6297,60.676,49.9802,39.1459,38.141,53.9072,37.3253,60.6248,49.432,39.5897,35.0902,54.8629,35.8911,59.7334,48.1638,38.4695,32.9915,56.3135,35.061,59.5734,47.6882,37.871,31.0023,57.2161,33.994,59.4162,47.2889,37.013,25.9259,62.9033,31.4111,60.6665,47.593,34.6535,21.2393,66.8875,27.9436,61.6853,47.9019,30.932
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=4,39.6777,8,50.078,75.5385,46.5119,46.7521,44.9586,38.0509,61.3612,52.3678,37.6981,43.2336,48.3661,38.0637,60.8509,50.9475,38.6994,40.293,51.4442,37.6297,60.676,49.9802,39.1459,38.141,53.9072,37.3253,60.6248,49.432,39.5897,35.0902,54.8629,35.8911,59.7334,48.1638,38.4695,32.9915,56.3135,35.061,59.5734,47.6882,37.871,31.0023,57.2161,33.994,59.4162,47.2889,37.013,25.9259,62.9033,31.4111,60.6665,47.593,34.6535,21.2393,66.8875,27.9436,61.6853,47.9019,30.932
H-ngram: BM25F Prec×1+Rati×1+Fact×1+Argu×1  n=9,39.5665,8,48.0904,74.3942,45.6943,46.7521,44.8039,37.9642,61.1118,52.4866,37.6981,43.3761,48.2845,37.9851,60.6763,51.1934,38.8269,40.4762,51.0364,37.6655,60.3763,50.2182,39.3238,38.0342,53.8132,37.1939,60.2585,49.3973,39.4788,35.3751,55.1663,36.0831,59.641,48.3141,38.7819,33.2906,56.42,35.1691,59.4533,47.8658,38.2144,31.1966,57.1907,34.0045,59.2161,47.4515,37.2449,24.8718,60.7352,30.0047,59.275,46.7532,33.2445,20.1709,63.4525,26.3974,59.8688,46.8617,29.3761
I-grid: Fusion Prec×1 Ratio×3 Fact×1 Arg×1,39.511,8,50.1678,75.8137,47.2183,46.3248,44.3893,37.5603,61.0999,52.2948,37.3535,43.3761,48.6827,38.0903,61.0752,51.1119,38.8269,40.3541,51.3604,37.6277,60.7448,50.0853,39.2052,37.9808,53.5813,37.1746,60.5009,49.2817,39.4233,35.4226,55.135,36.2306,59.9802,48.3595,38.8339,33.3761,56.5988,35.4195,59.8565,47.9746,38.3125,31.5074,58.1598,34.6159,59.9225,47.691,37.616,26.0969,62.5933,31.53,60.7413,47.7893,34.8819,21.3462,66.9509,28.102,61.8504,48.0496,31.0876
I-grid: Fusion Prec×1 Ratio×2 Fact×1 Arg×0,39.4651,7,49.626,75.0699,46.9348,46.4957,44.3489,37.7117,60.9925,52.0377,37.4914,43.3761,47.7194,37.9227,60.6622,50.8656,38.8269,40.5372,49.9281,37.4261,60.2919,50.0418,39.3832,37.5534,51.7668,36.5111,59.6475,48.7284,38.9798,35.0902,53.4792,35.6741,59.1891,47.8805,38.4695,33.2051,55.7649,35.1608,59.3236,47.6022,38.1163,31.3908,57.3043,34.3204,59.3935,47.3344,37.4768,25.755,61.8223,31.1006,60.0836,47.2236,34.425,21.2179,66.5906,27.8766,61.3513,47.592,30.9009
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=5,39.4554,8,49.9156,75.0599,46.5019,46.8376,45.0084,38.0787,61.2684,52.3149,37.7671,43.1624,47.8817,37.8326,60.5311,50.7124,38.6356,40.3541,51.0082,37.6115,60.4057,49.8157,39.2052,37.9274,53.358,37.0725,60.1851,49.0373,39.3679,35.0902,54.8205,35.9165,59.5235,47.9054,38.4695,33.2051,56.3012,35.2046,59.4764,47.6075,38.1163,31.1189,57.5405,34.1715,59.3596,47.1559,37.1521,26.0114,62.9087,31.4971,60.5462,47.4632,34.7677,21.2821,66.6527,27.997,61.5006,47.7082,30.9942
H-ngram: BM25F Prec×1+Rati×1+Fact×1+Argu×1  n=8,39.3998,8,48.3293,74.4594,46.1898,46.7521,44.7379,37.9216,61.2787,52.8092,37.6981,43.3761,48.3913,38.0064,60.8869,51.5198,38.8269,40.1709,50.6715,37.3453,60.328,50.3235,39.0273,37.8739,53.7083,37.0761,60.3182,49.5471,39.3124,35.4226,55.265,36.1669,59.8299,48.5892,38.8339,33.2479,56.3352,35.1104,59.5706,48.093,38.1653,31.0412,57.0815,33.8803,59.275,47.5982,37.0594,24.8718,60.6987,30.0142,59.4319,47.0318,33.2445,20.1709,63.4582,26.4031,60.0234,47.0941,29.3761
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=8,39.3462,7,49.4438,74.7882,46.6692,47.3504,45.3181,38.4252,61.3795,52.4161,38.1806,43.7322,48.1816,38.1991,60.6932,50.7974,39.1457,40.4151,51.5309,37.641,60.3932,49.6219,39.2645,37.2863,52.9955,36.5136,59.6085,48.2681,38.7025,34.8053,54.5541,35.6063,59.1198,47.4055,38.1572,32.7778,56.1656,34.8333,59.0292,46.9985,37.6257,31.1966,58.0432,34.189,59.2992,46.9248,37.2449,25.8405,62.4959,31.2577,60.1151,46.954,34.5392,21.2179,65.8818,27.8183,61.0296,47.2342,30.9009
H-ngram: BM25F Prec×1+Rati×1+Fact×1+Argu×1  n=7,39.3443,8,48.3128,74.2418,46.2558,46.5812,44.6373,37.7929,61.1407,52.7523,37.5603,43.5897,48.7979,38.2613,61.0669,51.686,39.0182,40.232,50.7356,37.3962,60.3609,50.3856,39.0866,37.8205,53.6051,37.0142,60.2417,49.5485,39.257,35.4701,55.2863,36.1964,59.8386,48.633,38.886,33.1624,56.3803,35.0832,59.5159,48.0703,38.0672,31.0023,57.1616,33.8884,59.2504,47.602,37.013,24.8148,60.5676,29.9626,59.3333,46.9751,33.1683,20.2137,63.3542,26.4395,59.9853,47.1045,29.4383
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=7,39.2868,7,49.4997,74.5674,46.5776,46.9231,44.9706,38.061,61.0605,52.13,37.836,43.7322,48.1899,38.2067,60.654,50.7637,39.1457,40.3541,50.7599,37.5014,60.1174,49.5142,39.2052,37.4466,52.9329,36.6808,59.6148,48.3262,38.8689,34.9478,54.8066,35.7914,59.2063,47.5186,38.3134,32.735,56.0379,34.7781,58.9424,46.9869,37.5766,31.08,58.0497,34.0925,59.225,46.8709,37.1058,25.9259,62.6109,31.3451,60.1702,47.0385,34.6535,21.2393,65.9747,27.8686,61.055,47.2853,30.932
I-grid: Fusion Prec×2 Ratio×3 Fact×1 Arg×1,39.2382,9,49.5779,75.2557,47.0253,46.4103,44.5367,37.6746,60.8599,51.7817,37.4225,43.2336,48.1374,37.9427,60.543,50.6276,38.6994,40.293,50.7947,37.4857,60.2274,49.6339,39.1459,37.7137,53.0145,36.9017,59.89,48.7269,39.1461,35.7075,55.4822,36.4946,59.8495,48.1696,39.1463,33.3761,56.9651,35.5238,59.6187,47.544,38.3125,31.6239,58.2645,34.71,59.6835,47.3142,37.7551,26.0684,62.8639,31.5256,60.4475,47.2608,34.8439,21.3462,66.9737,28.1103,61.5275,47.5958,31.0876
I-grid: Fusion Prec×2 Ratio×3 Fact×1 Arg×0,39.2331,8,49.1044,74.6329,47.1438,46.5812,44.4725,37.8093,60.7438,51.6452,37.5603,43.0199,47.4963,37.6455,60.1178,50.2031,38.5081,40.0488,49.8387,37.1276,59.7045,49.2075,38.9087,37.7137,52.425,36.7394,59.5702,48.5079,39.1461,35.5176,54.3265,36.1209,59.3039,47.7789,38.9381,33.2906,55.9704,35.2353,59.1227,47.1993,38.2144,31.5851,57.6662,34.5687,59.2945,47.0942,37.7087,25.7265,61.6151,31.0607,59.7487,46.8152,34.3869,21.2393,66.3322,27.9434,61.0614,47.246,30.932
H-ngram: BM25F Prec×1+Rati×1+Fact×1+Argu×1  n=10,39.2273,7,48.0561,74.2469,45.8033,46.5812,44.6796,37.8188,60.9942,52.4346,37.5603,43.5185,48.2931,38.0164,60.7565,51.3439,38.9544,40.293,50.5806,37.4367,60.1582,50.1114,39.1459,37.5,52.9099,36.655,59.7659,49.0391,38.9243,35.3276,55.1971,36.0658,59.5967,48.2834,38.7298,33.1197,56.2467,34.9976,59.3076,47.7467,38.0182,31.1966,57.5792,34.0369,59.2737,47.4322,37.2449,24.8433,60.6168,29.9509,59.2056,46.7202,33.2064,20.1923,63.452,26.4186,59.8559,46.8234,29.4072
